descriptor,item
I'll take a six-piece Chicken McNugget with tangy barbecue sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with creamy ranch sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet chili sauce, please.",Chicken McNuggets
I'd like a six-piece Chicken McNugget with honey sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with hot mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet and sour sauce, please.",Chicken McNuggets
I'll take a six-piece Chicken McNugget with spicy buffalo sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with honey mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, extra barbecue sauce, please.",Chicken McNuggets
I'd like a six-piece Chicken McNugget with tangy barbecue sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with creamy ranch sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet chili sauce, please.",Chicken McNuggets
I'll take a six-piece Chicken McNugget with honey sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with hot mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet and sour sauce, please.",Chicken McNuggets
I'd like a six-piece Chicken McNugget with spicy buffalo sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with honey mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, extra barbecue sauce, please.",Chicken McNuggets
I'll take a six-piece Chicken McNugget with tangy barbecue sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with creamy ranch sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet chili sauce, please.",Chicken McNuggets
I'd like a six-piece Chicken McNugget with honey sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with hot mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet and sour sauce, please.",Chicken McNuggets
I'll take a six-piece Chicken McNugget with spicy buffalo sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with honey mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, extra barbecue sauce, please.",Chicken McNuggets
I'd like a six-piece Chicken McNugget with tangy barbecue sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with creamy ranch sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet chili sauce, please.",Chicken McNuggets
I'll take a six-piece Chicken McNugget with honey sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with hot mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet and sour sauce, please.",Chicken McNuggets
I'd like a six-piece Chicken McNugget with spicy buffalo sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with honey mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, extra barbecue sauce, please.",Chicken McNuggets
I'll take a six-piece Chicken McNugget with tangy barbecue sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with creamy ranch sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet chili sauce, please.",Chicken McNuggets
I'd like a six-piece Chicken McNugget with honey sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with hot mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, with sweet and sour sauce, please.",Chicken McNuggets
I'll take a six-piece Chicken McNugget with spicy buffalo sauce.,Chicken McNuggets
Can I get a ten-piece Chicken McNugget with honey mustard sauce?,Chicken McNuggets
"May I have a four-piece Chicken McNugget with no sauce, please.",Chicken McNuggets
"One twenty-piece Chicken McNugget, extra barbecue sauce, please.",Chicken McNuggets
,Chicken McNuggets
"I'll have the nuggets, please.",Chicken McNuggets
Can I get the chicken bites?,Chicken McNuggets
"May I have the crispy nuggets, please?",Chicken McNuggets
"One order of those delicious chicken pieces, please.",Chicken McNuggets
I'd like the breaded chicken snack.,Chicken McNuggets
Can I get the nuggets with dipping sauce?,Chicken McNuggets
"May I have the crispy chicken bites, please?",Chicken McNuggets
"One order of those tasty chicken chunks, please.",Chicken McNuggets
I'd like the breaded chicken pieces with sauce on the side.,Chicken McNuggets
Can I get the nuggets without any sauce?,Chicken McNuggets
"May I have the crispy chicken snacks, please?",Chicken McNuggets
"One order of those flavorful chicken bites, please.",Chicken McNuggets
I'd like the breaded chicken nuggets with dipping sauce.,Chicken McNuggets
Can I get the nuggets with barbecue sauce?,Chicken McNuggets
"May I have the crispy chicken nuggets, please?",Chicken McNuggets
"One order of those yummy chicken bites, please.",Chicken McNuggets
I'd like the breaded chicken pieces with ketchup.,Chicken McNuggets
Can I get the nuggets with honey mustard?,Chicken McNuggets
"May I have the crispy chicken pieces, please?",Chicken McNuggets
"One order of those delectable chicken chunks, please.",Chicken McNuggets
I'd like the breaded chicken snacks with sweet and sour sauce.,Chicken McNuggets
Can I get the nuggets with ranch dressing?,Chicken McNuggets
"May I have the crispy chicken bites, no sauce, please.",Chicken McNuggets
"One order of those mouthwatering chicken nuggets, please.",Chicken McNuggets
I'd like the breaded chicken nuggets with barbecue sauce.,Chicken McNuggets
Can I get the nuggets with ketchup and mustard?,Chicken McNuggets
"May I have the crispy chicken snacks with honey mustard, please.",Chicken McNuggets
"One order of those delightful chicken pieces, please.",Chicken McNuggets
I'd like the breaded chicken bites with sweet and sour sauce.,Chicken McNuggets
Can I get the nuggets with buffalo sauce?,Chicken McNuggets
"May I have the crispy chicken nuggets with no sauce, please.",Chicken McNuggets
"One order of those scrumptious chicken chunks, please.",Chicken McNuggets
I'd like the breaded chicken snacks with ranch dressing.,Chicken McNuggets
Can I get the nuggets with spicy sauce?,Chicken McNuggets
"May I have the crispy chicken bites with ketchup and mustard, please.",Chicken McNuggets
"One order of those amazing chicken bites, please.",Chicken McNuggets
I'd like the breaded chicken pieces with barbecue sauce.,Chicken McNuggets
Can I get the nuggets with no sauce?,Chicken McNuggets
"May I have the crispy chicken snacks with honey mustard and ranch dressing, please.",Chicken McNuggets
"One order of those heavenly chicken nuggets, please.",Chicken McNuggets
I'd like the breaded chicken nuggets with sweet chili sauce.,Chicken McNuggets
Can I get the nuggets with tangy sauce?,Chicken McNuggets
"May I have the crispy chicken bites with no sauce, please.",Chicken McNuggets
"One order of those delightful chicken pieces, please.",Chicken McNuggets
I'd like the breaded chicken snacks with no sauce.,Chicken McNuggets
Can I get the nuggets with extra dipping sauce?,Chicken McNuggets
"May I have the crispy chicken bites with sweet and sour sauce and barbecue sauce, please.",Chicken McNuggets
"One order of those mouthwatering chicken nuggets, please.",Chicken McNuggets
I'd like the breaded chicken pieces with extra ketchup.,Chicken McNuggets
Can I get the nuggets with an assortment of sauces?,Chicken McNuggets
"May I have the crispy chicken snacks with ranch dressing and honey mustard, please.",Chicken McNuggets
"One order of those delicious chicken bites, please.",Chicken McNuggets
I'd like the breaded chicken nuggets with a side of sauce.,Chicken McNuggets
Can I get the nuggets with a variety of dipping sauces?,Chicken McNuggets
"May I have the crispy chicken bites with sweet and sour sauce and buffalo sauce, please.",Chicken McNuggets
"One order of those flavorful chicken pieces, please.",Chicken McNuggets
I'd like the breaded chicken snacks with ketchup and ranch dressing.,Chicken McNuggets
Can I get the nuggets with an array of sauces?,Chicken McNuggets
"May I have the crispy chicken bites with honey mustard and tangy sauce, please.",Chicken McNuggets
"One order of those delectable chicken nuggets, please.",Chicken McNuggets
I'd like the breaded chicken pieces with barbecue sauce and honey mustard.,Chicken McNuggets
Can I get the nuggets with a selection of sauces?,Chicken McNuggets
"May I have the crispy chicken bites with ranch dressing and spicy sauce, please.",Chicken McNuggets
"One order of those mouthwatering chicken bites, please.",Chicken McNuggets
I'd like the breaded chicken snacks with sweet and sour sauce and no sauce.,Chicken McNuggets
Can I get the nuggets with dipping sauce on the side?,Chicken McNuggets
"May I have the crispy chicken bites with barbecue sauce and ranch dressing, please.",Chicken McNuggets
"One order of those scrumptious chicken pieces, please.",Chicken McNuggets
I'd like the breaded chicken nuggets with honey mustard and buffalo sauce.,Chicken McNuggets
Can I get the nuggets with sauce served separately?,Chicken McNuggets
"May I have the crispy chicken bites with tangy sauce and no sauce, please.",Chicken McNuggets
"One order of those delightful chicken nuggets, please.",Chicken McNuggets
I'd like the breaded chicken pieces with ketchup and sweet and sour sauce.,Chicken McNuggets
Can I get the nuggets with extra sauce on the side?,Chicken McNuggets
"May I have the crispy chicken snacks with honey mustard and no sauce, please.",Chicken McNuggets
"One order of those amazing chicken bites, please.",Chicken McNuggets
I'd like the breaded chicken nuggets with barbecue sauce and spicy sauce.,Chicken McNuggets
Can I get the nuggets with an extra side of dipping sauce?,Chicken McNuggets
"May I have the crispy chicken bites with ranch dressing and no sauce, please.",Chicken McNuggets
"One order of those heavenly chicken nuggets, please.",Chicken McNuggets
I'd like the breaded chicken pieces with sweet chili sauce and no sauce.,Chicken McNuggets
Can I get the nuggets with an additional sauce?,Chicken McNuggets
"May I have the crispy chicken snacks with ketchup and no sauce, please.",Chicken McNuggets
"One order of those delectable chicken bites, please.",Chicken McNuggets
I'd like the breaded chicken nuggets with honey mustard and tangy sauce.,Chicken McNuggets
Can I get the nuggets with sauce on the side?,Chicken McNuggets
"May I have the crispy chicken bites with barbecue sauce and no sauce, please.",Chicken McNuggets
"One order of those mouthwatering chicken nuggets, please.",Chicken McNuggets
I'd like the breaded chicken pieces with ranch dressing and spicy sauce.,Chicken McNuggets
Can I get the nuggets with sweet and sour sauce and no sauce?,Chicken McNuggets
"May I have the crispy chicken snacks with honey mustard and tangy sauce, please.",Chicken McNuggets
"One order of those delightful chicken bites, please.",Chicken McNuggets
I'd like the breaded chicken nuggets with barbecue sauce and tangy sauce.,Chicken McNuggets
Can I get the nuggets with honey mustard and no sauce?,Chicken McNuggets
"May I have the crispy chicken bites with ranch dressing and tangy sauce, please.",Chicken McNuggets
"One order of those scrumptious chicken nuggets, please.",Chicken McNuggets
I'd like the breaded chicken pieces with spicy sauce and no sauce.,Chicken McNuggets
Can I get the nuggets with buffalo sauce and no sauce?,Chicken McNuggets
"May I have the crispy chicken snacks with tangy sauce and no sauce, please.",Chicken McNuggets
"One order of those amazing chicken bites, please.",Chicken McNuggets
